,Split,Year,OPS,MLB_OPS
0,as SS,1912,0.64,0.695
1,as 1B,1912,0.734,0.695
2,as 2B,1912,0.723,0.695
3,as LF,1912,0.719,0.695
4,as CF,1912,0.774,0.695
5,as PH,1912,0.587,0.695
6,as RF,1912,0.755,0.695
7,as 3B,1912,0.719,0.695
8,as C,1912,0.643,0.695
9,as P,1912,0.487,0.695
10,as PH,1913,0.629,0.67
11,as RF,1913,0.714,0.67
12,as LF,1913,0.703,0.67
13,as SS,1913,0.631,0.67
14,as 1B,1913,0.705,0.67
15,as 2B,1913,0.694,0.67
16,as P,1913,0.433,0.67
17,as CF,1913,0.713,0.67
18,as 3B,1913,0.679,0.67
19,as C,1913,0.635,0.67
20,as 3B,1914,0.659,0.659
21,as C,1914,0.623,0.659
22,as LF,1914,0.709,0.659
23,as PH,1914,0.628,0.659
24,as RF,1914,0.718,0.659
25,as SS,1914,0.62,0.659
26,as CF,1914,0.726,0.659
27,as 1B,1914,0.685,0.659
28,as 2B,1914,0.679,0.659
29,as P,1914,0.427,0.659
30,as P,1915,0.448,0.65
31,as PH,1915,0.58,0.65
32,as 3B,1915,0.627,0.65
33,as C,1915,0.615,0.65
34,as LF,1915,0.703,0.65
35,as 1B,1915,0.689,0.65
36,as 2B,1915,0.674,0.65
37,as RF,1915,0.71,0.65
38,as SS,1915,0.617,0.65
39,as CF,1915,0.695,0.65
40,as CF,1916,0.723,0.638
41,as 3B,1916,0.637,0.638
42,as C,1916,0.602,0.638
43,as PH,1916,0.58,0.638
44,as P,1916,0.42,0.638
45,as RF,1916,0.677,0.638
46,as SS,1916,0.599,0.638
47,as LF,1916,0.689,0.638
48,as 1B,1916,0.682,0.638
49,as 2B,1916,0.629,0.638
50,as 1B,1917,0.674,0.635
51,as 2B,1917,0.603,0.635
52,as P,1917,0.436,0.635
53,as 3B,1917,0.643,0.635
54,as C,1917,0.589,0.635
55,as CF,1917,0.703,0.635
56,as PH,1917,0.551,0.635
57,as LF,1917,0.697,0.635
58,as RF,1917,0.675,0.635
59,as SS,1917,0.631,0.635
60,as RF,1918,0.697,0.642
61,as SS,1918,0.622,0.642
62,as CF,1918,0.712,0.642
63,as P,1918,0.467,0.642
64,as 1B,1918,0.708,0.642
65,as 2B,1918,0.619,0.642
66,as 3B,1918,0.647,0.642
67,as C,1918,0.566,0.642
68,as PH,1918,0.583,0.642
69,as LF,1918,0.677,0.642
70,as LF,1919,0.748,0.67
71,as 1B,1919,0.724,0.67
72,as 2B,1919,0.64,0.67
73,as CF,1919,0.728,0.67
74,as RF,1919,0.726,0.67
75,as SS,1919,0.639,0.67
