Rk,I,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,Batting 9th,1901,2777,2218,8441,7766,813,1564,191,84,35,643,90,,407,1244,.201,.247,.261,.508,2028,,64,204,,,0,.236,,
2,,Batting 2nd,1901,2252,2218,10172,9100,1621,2709,371,159,70,936,425,,736,529,.298,.355,.396,.752,3608,,80,256,,,0,.310,,
3,,Bat1-2non-P,1901,4498,4435,20547,18248,3347,5373,683,312,114,1695,879,,1727,1083,.294,.362,.385,.746,7022,,195,377,,,0,.308,,
4,,Bat3-6non-P,1901,8999,8870,38363,34881,5106,10082,1502,618,257,5079,1470,,2406,2206,.289,.342,.390,.732,13591,,415,661,,,0,.303,,
5,,Batting 7th,1901,2272,2218,8999,8213,896,1965,275,110,24,889,233,,504,670,.239,.291,.308,.599,2532,,94,188,,,0,.258,,
6,,Batting 1st,1901,2252,2218,10387,9159,1728,2665,312,153,44,759,454,,992,554,.291,.367,.373,.740,3415,,115,121,,,0,.306,,
7,,Batting 5th,1901,2256,2218,9484,8597,1149,2355,347,130,56,1235,357,,641,586,.274,.332,.364,.696,3130,,105,141,,,0,.289,,
8,,Batting 6th,1901,2258,2218,9265,8392,1061,2306,324,129,50,1050,290,,595,579,.275,.330,.362,.692,3038,,103,175,,,0,.291,,
9,,Batting 3rd,1901,2245,2218,9929,9004,1489,2687,380,173,62,1249,411,,606,514,.298,.350,.400,.750,3599,,108,211,,,0,.311,,
10,,Batting 4th,1901,2247,2218,9696,8899,1408,2739,451,186,89,1545,412,,564,529,.308,.356,.430,.786,3829,,99,134,,,0,.320,,
11,,Bat7-9non-P,1901,4842,4446,17995,16469,1829,3994,569,223,48,1749,416,,976,1327,.243,.293,.313,.606,5153,,196,354,,,0,.261,,
12,,Batting 8th,1901,2324,2218,8713,7995,902,1967,280,113,25,831,179,,451,617,.246,.295,.319,.613,2548,,101,166,,,0,.264,,
