Rk,I,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,Other,1912,3,,3,1,3,0,0,0,0,2,0,0,2,0,.000,.667,.000,.667,0,0,0,0,0,0,0,.000,,
2,,at Def. Pos.,1912,2464,,40807,35788,4845,9812,1404,531,156,4131,1547,1096,3502,3527,.274,.341,.356,.697,12746,436,331,829,356,147,1102,.297,,
3,,at Off. Pos.,1912,2464,,44206,38830,5668,10807,1733,763,267,4904,1813,1333,3719,4291,.278,.344,.383,.727,14867,431,365,878,414,87,1095,.304,,
4,,as SS,1912,2464,,10040,8818,1152,2209,306,130,30,1013,356,265,792,978,.251,.315,.325,.640,2865,105,89,245,95,8,285,.276,,
5,,as 1B,1912,2464,,10472,9328,1253,2648,452,190,70,1360,389,331,748,979,.284,.339,.396,.734,3690,99,85,200,111,14,286,.307,,
6,,as 2B,1912,2464,,10580,9124,1339,2620,350,120,28,1059,444,321,1057,701,.287,.362,.361,.723,3294,120,65,236,98,31,277,.305,,
7,,as LF,1912,2464,,10801,9320,1406,2554,408,150,56,1059,476,322,1048,1125,.274,.351,.368,.719,3430,94,103,240,90,12,255,.304,,
8,,as Outfield,1912,2464,,32356,28240,4339,8078,1265,578,201,3418,1501,1047,2934,2982,.286,.356,.393,.749,11102,278,295,611,276,71,817,.311,,
9,,as CF,1912,2464,,10810,9455,1512,2826,426,190,65,1130,583,421,997,874,.299,.369,.405,.774,3827,89,97,182,79,32,298,.321,,
10,,as Infield,1912,2464,,51053,44941,5976,12206,1834,700,219,5429,1819,1361,4154,4561,.272,.335,.358,.693,16097,578,392,1088,477,152,1355,.295,,
11,,as PH,1912,1075,,1604,1437,114,335,38,16,3,188,20,8,133,275,.233,.299,.288,.587,414,11,9,8,17,11,25,.282,,
12,,as RF,1912,2464,,10745,9465,1421,2698,431,238,80,1229,442,304,889,983,.285,.349,.406,.755,3845,95,95,189,107,27,264,.308,,
13,,as 3B,1912,2464,,10584,9280,1390,2572,404,169,58,1068,466,355,901,929,.277,.343,.376,.719,3488,132,73,241,89,23,265,.300,,
14,,as C,1912,2464,,9377,8391,842,2157,322,91,33,929,164,89,656,974,.257,.314,.329,.643,2760,122,80,166,84,76,242,.284,,
15,,as P,1912,2464,,8242,7433,641,1424,219,65,19,560,47,41,461,1983,.192,.241,.246,.487,1830,101,32,275,41,0,163,.257,,
16,,as PR,1912,,,,,84,,,,,,20,13,,,,,,,,,,,,,,,,
17,I,as PH,1913,847,,1435,1268,119,304,48,12,8,162,28,12,131,233,.240,.313,.315,.629,400,19,11,12,13,8,23,.285,,
18,,as PR,1913,,,,,85,,,,,,11,14,,,,,,,,,,,,,,,,
19,I,as RF,1913,1684,,7164,6351,846,1738,245,124,52,690,277,214,578,638,.274,.338,.376,.714,2387,73,72,107,56,12,166,.295,,
20,I,as LF,1913,1684,,7159,6346,826,1698,292,100,56,705,331,272,590,673,.268,.331,.372,.703,2358,73,41,128,54,6,148,.290,,
21,I,as SS,1913,1684,,6869,6161,666,1558,182,84,26,631,270,178,457,596,.253,.309,.322,.631,1986,84,61,143,47,6,171,.274,,
22,I,at Def. Pos.,1913,1684,,27461,24221,2881,6365,861,346,115,2478,1025,720,2269,2380,.263,.328,.341,.669,8263,317,197,549,225,75,623,.285,,
23,I,at Off. Pos.,1913,1684,,29747,26408,3491,7102,1066,434,207,3047,1223,928,2352,2716,.269,.331,.366,.697,9657,330,241,482,264,59,650,.290,,
24,I,as 1B,1913,1684,,6975,6223,817,1703,235,115,55,787,256,193,511,614,.274,.330,.375,.705,2333,83,51,112,78,17,168,.293,,
25,I,as 2B,1913,1684,,7207,6195,874,1666,251,79,30,677,301,207,700,479,.269,.345,.349,.694,2165,81,53,190,69,10,172,.284,,
26,I,as Outfield,1913,1684,,21459,18930,2523,5152,769,332,147,1994,940,733,1845,2004,.272,.339,.371,.710,7026,209,149,365,170,39,458,.295,,
27,I,as P,1913,1681,,5378,4921,357,852,103,42,11,303,23,16,254,1250,.173,.215,.218,.433,1072,70,18,154,31,0,112,.228,,
